iter	Passed	Remaining
813	6250	1428
814	6259	1420
815	6266	1412
816	6273	1405
817	6281	1397
818	6295	1391
819	6304	1383
820	6313	1376
821	6320	1368
822	6326	1360
823	6333	1352
824	6339	1344
825	6346	1336
826	6352	1328
827	6359	1321
828	6365	1313
829	6373	1305
830	6381	1297
831	6387	1289
832	6394	1281
833	6400	1273
834	6406	1266
835	6413	1258
836	6419	1250
837	6426	1242
838	6433	1234
839	6440	1226
840	6447	1218
841	6453	1211
842	6463	1203
843	6470	1195
844	6478	1188
845	6485	1180
846	6492	1172
847	6499	1165
848	6506	1157
849	6513	1149
850	6520	1141
851	6527	1133
852	6533	1126
853	6541	1118
854	6549	1110
855	6556	1102
856	6563	1095
857	6569	1087
858	6577	1079
859	6584	1071
860	6591	1064
861	6597	1056
862	6604	1048
863	6611	1040
864	6618	1032
865	6625	1025
866	6631	1017
867	6639	1009
868	6646	1001
869	6653	994
870	6660	986
871	6666	978
872	6673	970
873	6680	963
874	6687	955
875	6694	947
876	6701	939
877	6708	932
878	6714	924
879	6720	916
880	6727	908
881	6733	900
882	6740	893
883	6747	885
884	6754	877
885	6760	869
886	6767	862
887	6773	854
888	6781	846
889	6788	838
890	6794	831
891	6801	823
892	6807	815
893	6813	807
894	6820	800
895	6826	792
896	6833	784
897	6840	776
898	6847	769
899	6854	761
900	6860	753
901	6867	746
902	6874	738
903	6880	730
904	6887	723
905	6894	715
906	6901	707
907	6909	700
908	6915	692
909	6922	684
910	6929	676
911	6936	669
912	6942	661
913	6949	653
914	6955	646
915	6962	638
916	6968	630
917	6975	623
918	6982	615
919	6988	607
920	6994	600
921	7001	592
922	7008	584
923	7014	576
924	7021	569
925	7027	561
926	7034	553
927	7040	546
928	7047	538
929	7053	530
930	7059	523
931	7066	515
932	7072	507
933	7079	500
934	7085	492
935	7092	484
936	7099	477
937	7106	469
938	7112	462
939	7119	454
940	7126	446
941	7133	439
942	7140	431
943	7146	423
944	7153	416
945	7159	408
946	7166	401
947	7173	393
948	7179	385
949	7186	378
950	7192	370
951	7198	362
952	7205	355
953	7212	347
954	7219	340
955	7226	332
956	7232	324
957	7238	317
958	7245	309
959	7252	302
960	7259	294
961	7265	287
962	7272	279
963	7279	271
964	7285	264
965	7291	256
966	7299	249
967	7314	241
968	7329	234
969	7335	226
970	7342	219
971	7348	211
972	7355	204
973	7361	196
974	7368	188
975	7374	181
976	7380	173
977	7387	166
978	7393	158
979	7401	151
980	7413	143
981	7424	136
982	7435	128
983	7445	121
984	7456	113
985	7467	106
986	7477	98
987	7486	90
988	7494	83
989	7502	75
990	7509	68
991	7516	60
992	7522	53
993	7528	45
994	7535	37
995	7542	30
996	7549	22
997	7555	15
998	7562	7
999	7568	0
